,n_killed,n_injured,latitude,longitude,Year,Month,Day,labels
150402,0,1,41.7181,-87.5623,2016,10,2,0
70552,0,0,41.6154,-70.9151,2015,5,1,0
81830,0,0,42.3258,-71.3929,2015,7,1,0
32838,0,0,39.7851,-75.4822,2014,8,5,0
87554,0,1,38.8337,-76.9927,2015,8,2,0
97178,0,0,44.9474,-123.008,2015,11,1,0
50147,0,1,41.7868,-87.662,2014,12,3,0
223295,0,1,43.0427,-83.6555,2017,12,5,0
4026,0,0,39.3107,-76.6388,2014,1,2,0
88500,0,0,41.524,-72.0834,2015,9,1,0
79267,0,3,41.555,-87.3486,2015,7,7,0
15878,0,1,39.294,-76.62,2014,5,2,0
60954,0,0,47.3174,-122.338,2015,3,7,0
178893,1,0,42.9433,-85.6705,2017,3,4,0
114729,0,1,35.3573,-119.013,2016,3,6,0
137790,0,0,32.6026,-97.1265,2016,7,4,0
42509,2,0,33.1039,-81.8878,2014,10,1,0
179378,0,0,41.0914,-80.6559,2017,4,7,0
11154,0,1,43.429,-83.9641,2014,3,1,0
6640,0,0,39.1422,-84.5155,2014,2,3,0
219066,1,0,36.1138,-95.8239,2017,11,6,0
121102,1,0,36.1588,-115.119,2016,4,5,0
107158,0,2,38.7721,-82.8702,2016,1,1,0
44820,0,2,29.4278,-98.4609,2014,11,2,0
114604,0,0,33.3886,-111.745,2016,3,5,0
93117,1,0,40.0553,-76.2944,2015,10,2,0
212715,0,0,29.6848,-95.5038,2017,10,2,0
18012,0,0,32.6386,-117.061,2014,5,4,0
44618,0,0,41.6911,-71.164,2014,11,7,0
143921,0,0,41.526,-90.5751,2016,8,4,0
96987,1,0,33.0192,-80.2075,2015,10,7,0
38574,1,1,32.5882,-96.9295,2014,9,5,0
146970,0,1,42.2628,-89.1105,2016,9,1,0
169693,0,0,38.9209,-75.4219,2017,1,3,0
105240,0,1,61.2242,-149.805,2015,12,2,0
208464,0,0,37.0798,-120.841,2017,9,5,0
17663,1,0,38.859,-76.9933,2014,5,2,0
66873,0,0,44.3671,-89.7879,2015,4,6,0
144156,0,1,41.8902,-87.7162,2016,9,5,0
189254,0,1,30.0455,-89.9346,2017,5,5,0
20414,1,0,39.9293,-75.1113,2014,6,6,0
229190,0,0,39.1987,-85.8933,2018,1,2,0
195964,0,3,38.9577,-94.5482,2017,7,1,0
186859,0,0,35.6175,-77.3946,2017,5,6,0
126562,0,1,41.7417,-87.7073,2016,5,4,0
80165,0,0,47.6611,-117.432,2015,7,6,0
183579,0,0,41.4704,-81.7588,2017,4,1,0
64802,0,0,33.496,-84.5786,2015,4,5,0
62774,1,0,33.9359,-78.7504,2015,3,6,0
54775,0,1,30.095,-90.9912,2015,1,4,0
54174,0,1,29.3837,-98.5322,2015,1,7,0
217370,0,1,43.0112,-87.9295,2017,11,2,0
236977,0,1,35.1754,-90.1846,2018,3,4,0
118072,0,0,45.511,-122.521,2016,3,6,0
13472,0,0,39.9823,-75.15,2014,4,5,0
230614,0,0,35.1931,-89.8927,2018,1,3,0
87651,0,1,39.8313,-86.0134,2015,9,3,0
125541,1,0,39.927,-75.1144,2016,5,4,0
122429,0,1,41.8632,-87.7034,2016,4,6,0
189622,0,0,42.5156,-92.3562,2017,5,7,0
237188,0,0,43.5233,-71.4671,2018,3,5,0
220777,0,1,34.7662,-84.9551,2017,11,2,0
171460,0,0,39.1004,-84.5213,2017,2,7,0
30512,0,0,39.6645,-75.6382,2014,8,6,0
37300,1,0,25.7464,-80.1812,2014,9,4,0
76123,1,1,32.9216,-96.7729,2015,6,1,0
177697,1,0,34.3181,-92.239,2017,3,5,0
57605,0,3,35.0592,-106.618,2015,2,1,0
90527,2,0,47.0536,-122.741,2015,9,6,0
800,0,1,32.4428,-80.7411,2014,1,7,0
49093,0,0,39.5163,-119.826,2014,12,2,0
16588,0,0,37.5204,-77.4877,2014,5,1,0
133997,0,2,38.6087,-90.1587,2016,7,3,0
32676,0,0,42.2802,-89.102,2014,8,4,0
15361,0,1,44.9713,-93.2622,2014,5,5,0
229042,0,1,30.3033,-89.8186,2018,1,1,0
2773,0,0,30.0108,-90.012,2014,1,7,0
170494,0,1,41.7785,-87.7019,2017,2,1,0
197130,0,0,39.7925,-89.6576,2017,7,7,0
116953,0,0,38.958,-77.4431,2016,3,6,0
107593,0,0,39.5473,-119.773,2016,1,4,0
159481,0,1,33.7201,-84.1361,2016,12,5,0
235145,0,0,38.0486,-84.4843,2018,3,6,0
118257,1,0,33.4628,-86.8401,2016,3,7,0
38677,0,0,31.5745,-111.332,2014,9,5,0
101201,0,2,36.038,-78.8766,2015,11,2,0
139490,1,0,41.8565,-87.6551,2016,8,7,0
224666,0,1,60.4874,-151.057,2017,12,7,0
227304,0,0,42.9251,-78.8279,2018,1,4,0
192541,0,0,40.7116,-74.0927,2017,6,2,0
225165,0,0,38.8331,-90.0597,2017,12,3,0
98581,0,1,34.0838,-84.5058,2015,11,4,0
228971,0,0,38.525,-89.0604,2018,1,1,0
202940,1,1,38.2011,-85.7344,2017,8,5,0
221803,0,1,27.1929,-80.2471,2017,12,2,0
2179,0,0,44.1518,-93.9865,2014,1,3,0
41286,0,0,37.7647,-122.199,2014,10,7,0
155875,1,0,32.8241,-83.6848,2016,11,6,0
16070,1,1,29.6656,-95.322,2014,5,4,0
68318,0,0,35.6356,-77.3765,2015,5,1,0
143817,0,0,42.4614,-70.9556,2016,8,3,0
169409,0,1,41.4743,-81.7477,2017,1,2,0
100245,0,1,33.5181,-80.8638,2015,11,2,0
156815,0,1,41.8536,-87.6959,2016,11,4,0
92610,0,0,41.7894,-87.7416,2015,10,5,0
163909,0,0,28.0729,-82.4448,2016,12,5,0
158470,0,0,33.6643,-95.5626,2016,11,7,0
230837,0,3,39.9483,-75.2274,2018,2,5,0
116240,1,0,36.128,-80.2612,2016,3,1,0
237812,0,0,36.1399,-79.8937,2018,3,2,0
18755,0,1,42.2155,-83.5649,2014,5,2,0
187710,0,1,41.0718,-81.4721,2017,5,3,0
32890,0,0,41.6627,-91.5549,2014,8,6,0
81352,1,0,39.1135,-84.565,2015,7,6,0
48037,1,0,41.7302,-87.6608,2014,11,7,0
188564,1,0,36.856,-76.2632,2017,5,1,0
62864,0,0,42.9613,-78.8837,2015,3,7,0
213355,0,0,35.3708,-77.9874,2017,10,6,0
99020,0,1,40.4208,-78.4053,2015,11,7,0
212996,1,0,37.124,-84.4515,2017,10,4,0
196764,0,1,39.7371,-75.571,2017,7,5,0
199873,0,2,42.639,-73.7668,2017,7,1,0
185105,0,1,41.7549,-87.5518,2017,5,3,0
40142,0,0,29.9278,-90.07,2014,10,7,0
110746,1,0,26.6994,-80.1029,2016,2,5,0
116065,1,0,40.398,-79.8845,2016,3,7,0
172681,0,1,42.3878,-122.89,2017,2,1,0
3253,0,1,34.4558,-117.515,2014,1,3,0
185926,1,0,39.7813,-86.1165,2017,5,1,0
14018,0,1,27.3438,-82.5386,2014,4,2,0
187956,0,0,40.6613,-73.9314,2017,5,5,0
102046,0,0,34.7367,-92.2966,2015,12,1,0
100239,1,0,35.2915,-78.0287,2015,11,2,0
63874,1,0,30.5701,-91.15,2015,4,6,0
80303,0,1,41.7959,-87.6516,2015,7,6,0
26924,0,2,33.0068,-80.1554,2014,7,6,0
46406,0,2,30.0205,-90.0531,2014,11,7,0
234456,0,0,43.1715,-77.6425,2018,2,1,0
52751,0,0,42.2302,-83.3289,2015,1,2,0
57003,0,1,35.8361,-84.5641,2015,2,2,0
68046,0,0,38.7908,-77.1529,2015,5,6,0
128844,0,1,39.4965,-88.1575,2016,6,4,0
204587,0,0,34.2938,-83.8096,2017,8,1,0
112145,0,1,42.9807,-87.9193,2016,2,1,0
5356,0,0,39.9553,-75.0055,2014,2,5,0
163873,1,0,32.4971,-92.1147,2016,12,4,0
196560,1,0,26.1757,-80.1869,2017,7,4,0
26447,1,2,30.3562,-103.666,2014,7,3,0
102934,0,1,32.8688,-83.5643,2015,12,7,0
166810,0,0,33.8137,-118.309,2017,1,7,0
139377,0,0,41.4353,-97.3683,2016,8,6,0
217098,0,1,38.6657,-90.2439,2017,11,7,0
81034,0,0,39.8334,-86.0102,2015,7,4,0
20469,0,0,38.2441,-85.7637,2014,6,6,0
